,stepstone_W12,indeed_W12,jobbörse_W12,arbeitsamt_W12,bewerbung_W12,stepstone_W34prev,indeed_W34prev,jobbörse_W34prev,arbeitsamt_W34prev,bewerbung_W34prev,Unemp,month
2021-04-30,45.13265060240964,116.13707983193277,22.790768296386275,22.141876430205947,36.51296641791045,44.39277108433735,118.3049719887955,23.190606336673753,25.019069412662088,38.41119402985075,6.0,4
2021-05-31,42.543072289156626,106.84611344537814,21.591254175523837,21.016018306636155,35.17304104477612,51.4216265060241,117.9952731092437,23.270573944731247,23.64302059496567,38.857835820895524,5.9,5
2021-06-30,43.28295180722891,109.63340336134453,22.071059823868815,23.26773455377574,34.83805970149254,43.15963855421686,105.91701680672269,20.951513311063874,21.266209000762775,36.17798507462686,5.7,6
2021-07-31,45.50259036144578,107.7752100840336,23.03067112055876,26.27002288329519,40.53274253731343,44.39277108433735,119.8534663865546,23.03067112055876,26.27002288329519,37.517910447761196,5.6,7
2021-08-31,44.39277108433735,104.98792016806722,20.63164287883389,25.51945080091533,36.847947761194035,45.13265060240964,106.84611344537814,21.831156999696326,25.51945080091533,38.52285447761194,5.6,8
2021-09-30,51.051686746987954,124.49894957983193,23.270573944731247,25.51945080091533,42.54263059701492,47.845542168674704,114.58858543417365,21.911124607753823,28.021357742181536,37.07126865671642,5.4,9
2021-10-31,56.97072289156627,131.93172268907563,23.270573944731247,26.27002288329519,40.19776119402985,51.4216265060241,125.42804621848738,23.750379593076225,27.771167048054917,39.527798507462684,5.2,10
2021-11-30,52.531445783132526,117.06617647058823,20.151837230488916,26.27002288329519,37.517910447761196,57.957228915662654,120.16316526610643,21.431318959408845,26.019832189168568,37.96455223880597,5.1,11
2021-12-31,49.94186746987951,104.05882352941175,17.99271181293653,24.76887871853547,32.828171641791045,52.03819277108434,106.53641456582632,17.752808988764045,23.768115942028984,34.391417910447764,5.1,12
2022-01-31,58.45048192771084,133.78991596638656,19.432128757971455,27.395881006864986,49.24225746268657,43.652891566265055,85.47689075630251,13.434558153659278,20.64073226544622,25.458582089552237,5.4,1
2022-02-28,58.45048192771084,137.5063025210084,19.911934406316426,24.018306636155604,49.91222014925373,57.46397590361446,139.36449579831933,19.991902014373924,27.270785659801675,50.24720149253731,5.3,2
2022-03-31,50.31180722891566,138.43539915966386,18.95232310962648,23.26773455377574,43.54757462686567,49.57192771084337,131.93172268907563,19.192225933798966,24.76887871853547,45.22248134328358,5.1,3
2022-04-30,45.872530120481926,121.71165966386553,16.073489219556635,21.766590389016017,36.51296641791045,51.4216265060241,134.719012605042,18.472517461281505,24.393592677345538,39.192817164179104,5.0,4
2022-05-31,49.57192771084337,126.35714285714283,17.033100516246584,24.018306636155604,39.52779850746269,45.872530120481926,131.93172268907563,16.793197692074095,24.018306636155604,36.84794776119403,4.9,5
2022-06-30,47.352289156626505,115.2079831932773,14.154266626176739,22.89244851258581,36.51296641791045,47.105662650602405,123.87955182072828,15.03391031480919,23.267734553775743,37.29458955223881,5.2,6
2022-07-31,55.49096385542168,122.640756302521,16.313392043729124,26.64530892448512,46.22742537313433,51.79156626506024,121.71165966386553,15.353780747039174,26.64530892448512,38.857835820895524,5.4,7
2022-08-31,51.05168674698795,122.640756302521,15.833586395384149,25.51945080091533,36.84794776119403,52.03819277108433,119.54376750700278,14.394169450349224,25.26926010678871,35.284701492537316,5.6,8
2022-09-30,53.64126506024096,128.21533613445376,15.113877922866687,25.51945080091533,39.527798507462684,54.504457831325304,128.8347338935574,15.833586395384147,27.270785659801675,36.84794776119403,5.4,9
2022-10-31,54.01120481927711,126.35714285714285,14.394169450349226,24.018306636155604,37.18292910447761,55.49096385542168,127.2862394957983,14.8739750986942,27.020594965675052,39.862779850746264,5.3,10
2022-11-30,55.12102409638554,131.93172268907563,14.634072274521714,24.018306636155604,38.857835820895524,55.49096385542168,127.59593837535012,13.914363802004251,24.518688024408846,36.624626865671644,5.3,11
2022-12-31,46.982349397590355,105.91701680672267,12.235044032796843,23.643020594965673,32.158208955223884,51.4216265060241,113.34978991596637,12.954752505314303,24.393592677345534,33.498134328358205,5.4,12
2023-01-31,59.560301204819275,133.78991596638656,17.51290616459156,28.52173913043478,45.55746268656716,38.47373493975904,77.11502100840335,10.795627087761918,21.391304347826086,23.113712686567162,5.7,1
